Cave	RefPassage	RefStation	Passage	Station	Start	End	Depth	Length	Azimuth	Inclination	LRUDs	Left	Right	Up	Down	ProfileX	ProfileY	Profile	Instrument	Direction	Weight	Loop	Colour	Level	Date	Surveyor	Title	Info	Material	Tasks	Comment	RefCave	RefX	RefY	RefZ	X	Y	Z	State
1323/42	1	27	1	28	0	0	0.00	25.70	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							27.65	59.06	-232.38	27.65	59.06	-258.08	
1323/42	1	28	1	29	0	0	0.00	4.60	55	-19	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	P34						27.65	59.06	-258.08	31.21	61.56	-259.58	
1323/42	1	29	1	30	0	0	0.00	34.00	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							31.21	61.56	-259.58	31.21	61.56	-293.58	
1323/42	1	30	1	31	0	0	0.00	8.90	38	-22	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							31.21	61.56	-293.58	36.29	68.06	-296.91	
1323/42	1	31	1	32	0	0	0.00	11.00	310	-29	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	Biwak 1						36.29	68.06	-296.91	28.92	74.24	-302.25	
1323/42	1	32	1	33	0	0	0.00	7.60	358	-70	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	P18						28.92	74.24	-302.25	28.83	76.84	-309.39	
1323/42	1	33	1	34	0	0	0.00	12.70	275	-63	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							28.83	76.84	-309.39	23.09	77.34	-320.70	
1323/42	1	34	1	35	0	0	0.00	11.00	10	-30	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	P8						23.09	77.34	-320.70	24.74	86.73	-326.20	
1323/42	1	35	1	36	0	0	0.00	11.30	38	-35	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	P10 (P14)						24.74	86.73	-326.20	30.44	94.02	-332.68	
1323/42	1	36	1	37	0	0	0.00	12.10	345	-62	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0	P22 (P54)						30.44	94.02	-332.68	28.97	99.51	-343.37	
1323/42	1	37	1	38	0	0	0.00	21.80	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	08/30/1990	0							28.97	99.51	-343.37	28.97	99.51	-365.17	
1323/42	1	38	1	39	0	0	0.00	3.60	348	10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0							28.97	99.51	-365.17	28.23	102.98	-364.54	
1323/42	1	39	1	40	0	0	0.00	2.90	342	-28	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0	P33						28.23	102.98	-364.54	27.44	105.41	-365.90	
1323/42	1	40	1	41	0	0	0.00	31.40	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0							27.44	105.41	-365.90	27.44	105.41	-397.30	
1323/42	1	41	1	42	0	0	0.00	4.70	44	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0	R3, P10						27.44	105.41	-397.30	30.69	108.78	-396.89	
1323/42	1	42	1	43	0	0	0.00	4.80	0	-43	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0							30.69	108.78	-396.89	30.69	112.29	-400.17	
1323/42	1	43	1	44	0	0	0.00	6.80	123	-51	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0							30.69	112.29	-400.17	34.28	109.96	-405.45	
1323/42	1	44	1	45	0	0	0.00	6.10	72	-59	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0	P37						34.28	109.96	-405.45	37.27	110.93	-410.68	
1323/42	1	45	1	46	0	0	0.00	13.85	67	-72	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0							37.27	110.93	-410.68	41.21	112.60	-423.85	
1323/42	1	46	1	47	0	0	0.00	24.75	38	-73	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0							41.21	112.60	-423.85	45.66	118.30	-447.52	
1323/42	1	47	1	48	0	0	0.00	6.10	295	10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0	P51						45.66	118.30	-447.52	40.22	120.84	-446.46	
1323/42	1	48	1	49	0	0	0.00	19.45	43	-70	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0							40.22	120.84	-446.46	44.76	125.71	-464.74	
1323/42	1	49	1	50	0	0	0.00	33.20	85	-80	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0							44.76	125.71	-464.74	50.50	126.21	-497.44	
1323/42	1	50	1	51	0	0	0.00	4.50	40	-10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/03/1990	0	P8						50.50	126.21	-497.44	53.35	129.60	-498.22	
1323/42	1	51	1	52	0	0	0.00	8.25	300	-80	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0							53.35	129.60	-498.22	52.11	130.32	-506.34	
1323/42	1	52	1	53	0	0	0.00	4.40	20	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0	P4						52.11	130.32	-506.34	53.61	134.46	-506.34	
1323/42	1	53	1	54	0	0	0.00	4.10	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0							53.61	134.46	-506.34	53.61	134.46	-510.44	
1323/42	1	54	1	55	0	0	0.00	6.85	30	12	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0							53.61	134.46	-510.44	56.96	140.26	-509.02	
1323/42	1	55	1	56	0	0	0.00	1.80	88	29	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0	P17						56.96	140.26	-509.02	58.54	140.31	-508.15	
1323/42	1	56	1	57	0	0	0.00	10.80	0	-90	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0							58.54	140.31	-508.15	58.54	140.31	-518.95	
1323/42	1	57	1	58	0	0	0.00	3.10	73	22	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0							58.54	140.31	-518.95	61.28	141.15	-517.78	
1323/42	1	58	1	59	0	0	0.00	9.30	43	-54	0	0.00	0.00	0.00	0.00	0.00	0.00	0	1	1	0	0	4	1	10/05/1990	0	P10						61.28	141.15	-517.78	65.01	145.15	-525.31	
